subject_id,race,sex,age,has_injury,role,role_number,resistance
143,Black,Male,23,Yes,A,1,tensed
144,Black,Male,13,,S,1,tensed
145,Black,Male,27,Yes,A,1,verbal non-compliance
146,Black,Male,37,,A,2,fled on foot
147,White,Female,26,No,A,1,tensed
148,Black,Male,28,Yes,A,1,fled in vehicle
149,White,Male,23,No,A,1,tensed
150,Black,Male,27,,A,1,commission of crime
151,White,Male,37,No,A,1,tensed
152,Black,Male,37,No,A,2,tensed
153,White,Male,25,Yes,A,3,assaulted officer
154,Black,Male,45,No,A,1,verbal non-compliance
155,Black,Male,34,No,A,1,verbal non-compliance
156,White,Male,22,Yes,A,1,fled in vehicle
157,White,Male,28,,A,1,tensed
158,White,Male,38,No,A,1,verbal non-compliance
159,White,Male,47,Yes,A,1,assaulted officer
160,Black,Male,17,Yes,A,1,commission of crime
161,White,Male,21,Yes,A,1,tensed
162,Black,Male,36,,A,1,tensed
163,White,Male,37,,A,1,tensed
164,White,Male,19,No,A,1,fled on foot
165,Black,Male,66,Yes,A,1,assaulted officer
166,White,Male,27,No,A,1,commission of crime
167,Black,Male,34,No,A,1,verbal non-compliance
168,White,Male,27,,A,1,tensed
169,Black,Male,44,No,A,1,tensed
170,Black,Male,21,,S,1,unspecified
171,Black,Male,36,No,A,1,tensed
172,Black,Male,27,,A,1,commission of crime
173,Black,Male,23,Yes,A,2,unspecified
174,Black,Male,43,Yes,A,1,fled on foot
175,Black,Male,25,,A,1,fled on foot
176,Black,Male,23,No,A,1,commission of crime
177,Black,Male,28,Yes,A,1,commission of crime
178,White,Male,31,No,OT,1,unspecified
179,Black,Male,40,No,A,1,commission of crime
180,Black,Female,42,No,A,2,assaulted officer
181,Black,Male,43,Yes,A,1,tensed
182,Black,Male,21,Yes,A,1,unspecified
183,White,Male,32,No,A,1,assaulted officer
184,White,Male,21,,OT,1,verbal non-compliance
185,Null,Male,15,Yes,A,1,fled in vehicle
186,Black,Male,23,,A,3,verbal non-compliance
187,Black,Male,14,,A,4,commission of crime
188,Black,Female,40,No,A,1,verbal non-compliance
189,Black,Male,18,No,A,1,fled on foot
190,White,Male,27,No,A,1,commission of crime
191,Asian,Male,16,No,A,2,fled on foot
192,Black,Male,46,Yes,A,1,fled on foot
193,Black,Male,23,No,A,1,commission of crime
194,White,Female,41,Yes,OT,1,tensed
195,White,Male,19,,A,1,tensed
196,White,Male,21,No,A,1,tensed
197,Native American,Male,50,Yes,OT,1,tensed
198,Black,Male,25,No,A,1,fled on foot
199,White,Male,21,No,A,1,unspecified
200,Black,Female,20,,A,1,unspecified
201,Native American,Male,20,No,OT,1,tensed
202,Black,Male,41,Yes,A,1,fled on foot
203,Black,Male,21,No,A,1,verbal non-compliance
204,Black,Male,13,,A,2,unspecified
205,Black,Male,20,No,A,1,commission of crime
206,Black,Male,28,Yes,A,1,assaulted officer
207,Black,Male,20,Yes,A,1,fled on foot
208,Black,Male,19,No,A,3,verbal non-compliance
209,Black,Male,66,Yes,A,1,assaulted officer
210,Black,Male,66,Yes,A,1,assaulted officer
211,Native American,Male,42,Yes,A,1,assaulted officer
212,Black,Male,45,Yes,A,1,commission of crime
213,Black,Male,22,,A,1,fled on foot
214,Null,Male,16,Yes,A,1,tensed
215,Black,Male,24,No,A,1,fled on foot
216,Native American,Female,45,Yes,A,1,tensed
217,Black,Female,20,,A,1,commission of crime
218,White,Male,40,No,A,1,tensed
219,White,Male,24,No,A,1,commission of crime
220,Black,Male,33,No,A,1,fled in vehicle
221,Null,Null,51,,A,2,verbal non-compliance
222,Black,Male,21,Yes,A,1,unspecified
223,Black,Male,33,No,A,1,fled on foot
224,Black,Male,24,,A,1,commission of crime
225,White,Male,38,,A,1,tensed
226,White,Male,22,Yes,A,1,fled in vehicle
227,Black,Male,40,No,A,1,commission of crime
228,Black,Male,24,Yes,A,1,fled in vehicle
229,Black,Male,28,Yes,A,1,assaulted officer
230,Black,Male,19,No,A,1,fled on foot
231,White,Male,32,No,A,1,assaulted officer
232,Null,Male,15,Yes,A,1,fled in vehicle
233,Black,Male,17,Yes,A,1,commission of crime
234,Black,Male,36,Yes,A,1,fled on foot
235,Black,Male,66,Yes,A,1,assaulted officer
236,Black,Male,16,No,A,1,fled on foot
237,White,Male,23,No,A,1,verbal non-compliance
238,Black,Male,45,No,A,1,verbal non-compliance
239,Black,Male,26,,A,1,tensed
240,White,Male,42,No,A,1,unspecified
241,Black,Male,27,No,A,1,verbal non-compliance
242,Black,Male,30,No,A,1,fled on foot
243,White,Male,22,,A,2,commission of crime
244,White,Male,30,,A,1,verbal non-compliance
245,Black,Male,21,Yes,A,1,unspecified
246,Black,Male,23,No,A,1,verbal non-compliance
247,Black,Female,19,,OT,1,tensed
248,Black,Male,21,,A,1,tensed
249,White,Male,21,Yes,A,1,tensed
