neighborhood_summary_id,year,neighborhood_id,total_calls
309,2017,24,40
310,2018,24,44
311,2019,24,33
312,2020,24,104
313,2008,25,19
314,2009,25,21
315,2010,25,20
316,2011,25,18
317,2012,25,17
318,2013,25,2
319,2014,25,9
320,2015,25,4
321,2016,25,6
322,2017,25,4
323,2018,25,15
324,2019,25,6
325,2020,25,2
326,2008,26,50
327,2009,26,36
328,2010,26,41
329,2011,26,34
330,2012,26,48
331,2013,26,49
332,2014,26,62
333,2015,26,58
334,2016,26,54
335,2017,26,22
336,2018,26,22
337,2019,26,13
338,2020,26,55
339,2008,27,22
340,2009,27,9
341,2010,27,8
342,2011,27,20
343,2012,27,14
344,2013,27,17
345,2014,27,9
346,2015,27,3
347,2016,27,7
348,2017,27,14
349,2018,27,7
350,2019,27,7
351,2020,27,5
352,2008,28,41
353,2009,28,20
354,2010,28,10
355,2011,28,21
356,2012,28,30
357,2013,28,17
358,2014,28,16
359,2015,28,31
360,2016,28,40
361,2017,28,19
362,2018,28,12
363,2019,28,45
364,2020,28,98
365,2008,29,22
366,2009,29,20
367,2010,29,41
368,2011,29,34
369,2012,29,32
370,2013,29,19
371,2014,29,14
372,2015,29,27
373,2016,29,14
374,2017,29,23
375,2018,29,22
376,2019,29,36
377,2020,29,72
378,2008,30,41
379,2009,30,48
380,2010,30,59
381,2011,30,28
382,2012,30,49
383,2013,30,72
384,2014,30,47
385,2015,30,51
386,2016,30,12
387,2017,30,24
388,2018,30,31
389,2019,30,32
390,2020,30,84
391,2008,31,19
392,2009,31,7
393,2010,31,11
394,2011,31,9
395,2012,31,6
396,2013,31,14
397,2014,31,22
398,2015,31,14
399,2016,31,11
400,2017,31,9
401,2018,31,2
402,2019,31,4
403,2020,31,10
404,2008,32,27
405,2009,32,23
406,2010,32,7
407,2011,32,10
408,2012,32,12
409,2013,32,13
410,2014,32,21
411,2015,32,3
412,2016,32,24
413,2017,32,17
414,2018,32,20
415,2019,32,35
416,2020,32,39
417,2008,33,10
418,2009,33,11
419,2010,33,20
420,2011,33,14
421,2012,33,27
422,2013,33,16
423,2014,33,56
424,2015,33,3
425,2016,33,22
426,2017,33,5
427,2018,33,19
428,2019,33,24
429,2020,33,40
430,2008,34,17
431,2009,34,19
432,2010,34,18
433,2011,34,6
434,2012,34,16
435,2013,34,9
436,2014,34,13
437,2015,34,7
438,2016,34,9
439,2017,34,16
440,2018,34,4
441,2019,34,4
442,2020,34,13
443,2008,35,26
444,2009,35,21
445,2010,35,2
446,2011,35,21
447,2012,35,13
448,2013,35,11
449,2014,35,23
450,2015,35,8
451,2016,35,18
452,2017,35,7
453,2018,35,10
454,2019,35,2
455,2020,35,11
456,2008,36,17
457,2009,36,15
458,2010,36,25
459,2011,36,12
460,2012,36,19
461,2013,36,16
462,2014,36,10
463,2015,36,10
464,2016,36,31
465,2017,36,6
466,2018,36,1
467,2019,36,8
468,2020,36,32
469,2008,37,30
470,2009,37,40
471,2010,37,36
472,2011,37,49
473,2012,37,31
474,2013,37,39
475,2014,37,33
476,2015,37,37
477,2016,37,47
478,2017,37,33
479,2018,37,75
480,2019,37,57
481,2020,37,122
482,2008,38,55
483,2009,38,25
484,2010,38,4
485,2011,38,8
486,2012,38,13
487,2013,38,2
488,2014,38,7
489,2015,38,8
490,2016,38,1
491,2017,38,3
492,2019,38,11
493,2020,38,23
494,2008,39,18
495,2009,39,6
496,2010,39,4
497,2011,39,4
498,2012,39,2
499,2013,39,11
500,2014,39,3
501,2015,39,4
502,2016,39,12
503,2017,39,6
504,2018,39,3
505,2019,39,27
506,2020,39,13
507,2008,40,17
508,2009,40,22
509,2010,40,14
510,2011,40,17
511,2012,40,19
512,2013,40,33
513,2014,40,13
514,2015,40,33
515,2016,40,4
516,2017,40,11
517,2018,40,6
518,2019,40,17
519,2020,40,13
520,2008,41,13
521,2009,41,8
522,2010,41,5
523,2011,41,2
524,2012,41,5
525,2013,41,1
526,2014,41,2
527,2015,41,4
528,2016,41,2
529,2017,41,3
530,2018,41,1
531,2019,41,8
532,2020,41,14
533,2008,42,35
534,2009,42,25
535,2010,42,28
536,2011,42,54
537,2012,42,23
538,2013,42,47
539,2014,42,63
540,2015,42,54
541,2016,42,71
542,2017,42,72
543,2018,42,97
544,2019,42,103
545,2020,42,80
546,2008,43,18
547,2009,43,14
548,2010,43,20
549,2011,43,14
550,2012,43,3
551,2013,43,16
552,2014,43,11
553,2015,43,21
554,2016,43,16
555,2017,43,16
556,2018,43,12
557,2019,43,26
558,2020,43,12
559,2008,44,34
560,2009,44,15
561,2010,44,2
562,2011,44,3
563,2012,44,10
564,2013,44,5
565,2014,44,6
566,2015,44,4
567,2016,44,10
568,2017,44,22
569,2018,44,11
570,2019,44,28
571,2020,44,12
572,2008,45,11
573,2009,45,17
574,2010,45,10
575,2011,45,16
576,2012,45,15
577,2013,45,7
578,2014,45,10
579,2015,45,11
580,2016,45,8
581,2017,45,3
582,2018,45,1
583,2019,45,18
584,2020,45,9
585,2008,46,30
586,2009,46,12
587,2010,46,17
588,2011,46,11
589,2012,46,7
590,2013,46,11
591,2014,46,7
592,2015,46,5
593,2016,46,10
594,2017,46,20
595,2018,46,36
596,2019,46,17
597,2020,46,32
598,2008,47,18
599,2009,47,24
600,2010,47,13
601,2011,47,15
602,2012,47,11
603,2013,47,6
604,2014,47,2
605,2015,47,2
606,2016,47,1
607,2017,47,8
608,2018,47,4
609,2019,47,15
610,2020,47,12
611,2008,48,63
612,2009,48,59
613,2010,48,35
614,2011,48,14
615,2012,48,39
616,2013,48,21
617,2014,48,51
618,2015,48,35
